fennica_id	record_number	field_number	subfield_number	field_code	subfield_code	value
	19508	22	2	100	b	II,
	26365	18	2	100	b	III,
	69449	17	2	100	b	II,
	173209	15	2	100	b	II,
	358339	11	2	100	b	III,
	358340	11	2	100	b	III,
	360557	11	2	100	b	I,
	360567	11	2	100	b	III,
	360568	12	2	100	b	III,
	360569	11	2	100	b	III,
	360570	11	2	100	b	III,
	360623	11	2	100	b	III,
	363415	11	2	100	b	I,
	363575	11	2	100	b	I,
	363879	11	2	100	b	III,
	364010	11	2	100	b	III,
	364011	11	2	100	b	III,
	364012	11	2	100	b	III,
	364014	11	2	100	b	III,
	364015	11	2	100	b	III,
	364016	11	2	100	b	III,
	364017	11	2	100	b	III,
	364018	11	2	100	b	III,
	364045	11	2	100	b	III,
	395488	11	2	100	b	III,
	396523	11	2	100	b	III,
	396526	11	2	100	b	III,
	396527	11	2	100	b	IV Aadolf,
	396528	12	2	100	b	III,
	396615	12	2	100	b	III,
	396616	11	2	100	b	III,
	397573	12	2	100	b	I,
	397640	12	2	100	b	III,
	397645	12	2	100	b	XIII,
	397669	15	2	100	b	IV Aadolf,
	397671	12	2	100	b	IV Aadolf,
	447630	14	2	100	b	XVI,
	491433	15	2	100	b	II Suuri,
	521483	14	2	100	b	VI,
	522500	17	2	100	b	XVI,
	602422	12	2	100	b	II,
	673232	20	2	100	b	II Suuri,
	674036	26	2	100	b	II,
	728602	11	2	100	b	III,
	728603	11	2	100	b	III,
	728604	11	2	100	b	III,
	728605	11	2	100	b	III,
	728607	11	2	100	b	III,
	728608	11	2	100	b	III,
	728609	11	2	100	b	IV Aadolf,
	728610	11	2	100	b	IV Aadolf,
	728611	11	2	100	b	IV Aadolf,
	729126	11	2	100	b	III,
	729127	11	2	100	b	III,
	729130	11	2	100	b	IV Aadolf,
	729131	11	2	100	b	III,
	792963	15	2	100	b	1970-
	803036	16	2	100	b	1947-
	810135	16	2	100	b	kirjoittaja.
	819215	18	2	100	b	kirjoittaja.
	824078	16	2	100	b	II Suuri,
	840222	20	2	100	b	XVI,
	842844	13	2	100	b	kirjoittaja.
	843511	15	2	100	b	kirjoittaja.
	854656	15	2	100	b	XII
	912252	16	2	100	b	II,
	917042	18	2	100	b	XVI,
	931677	16	2	100	b	XVI,
	949447	20	2	100	b	XVI,
	966176	13	2	100	b	1908-1998,
	970754	13	2	100	b	II,
	992308	18	2	100	b	XVI,
	1030154	15	2	100	b	XVI,
	1033936	14	2	100	b	XVI,
	1037413	14	2	100	b	XVI,
	1056476	15	2	100	b	XVI,
	1074574	17	2	100	b	I,
	1081456	13	2	100	b	XVI,
	1117888	11	2	100	b	III,
	1124731	13	2	100	b	XVI,
	1145568	19	2	100	b	II,
	1163663	16	2	100	b	I,
