Term	Count	Frequency
	775160	99.9
1898-1643.	37	0
428 eaa. tai 427 eaa.-348 eaa. tai 347 eaa.	35	0
1647-1618,	28	0
noin 496 eaa.-406 eaa.	23	0
106 eaa.-43 eaa.	21	0
384 eaa.-322 eaa.	20	0
(0)	18	0
525 tai 524 eaa.-456 tai 455 eaa.	17	0
70-19.	15	0
65 eaa.-8 eaa.	15	0
354-430.	13	0
354-430,	8	0
1988-1975.	8	0
noin 430 eaa.-355 eaa.	7	0
noin 45-noin 125.	6	0
1983-1966.	6	0
syntynyt ehkä 1620-luvulla, kuollut 1694,	5	0
noin 1330-noin 1400,	5	0
noin 445 eaa.-noin 385 eaa.	4	0
noin 4 eaa.-65 jaa.,	4	0
noin 4 eaa.-65 jaa.	4	0
384 eaa.-322 eaa.,	4	0
121-180,	4	0
100 eaa.-44 eaa.	4	0
noin 84 eaa.-noin 54 eaa.	3	0
noin 45-noin 125,	3	0
noin 1325-noin 1390.	3	0
noin 1181-noin 1226.	3	0
eli 300-luvun puolivälissä.	3	0
428 eaa. tai 427 eaa.-348 eaa. tai 347 eaa.,	3	0
234-149 e. Kr.	3	0
121-180.	3	0
106 eaa.-43 eaa.,	3	0
syntynyt ehkä 1620-luvulla, kuollut 1694.	2	0
noin 580 eaa.-noin 500 eaa.	2	0
noin 496 eaa.-406 eaa.,	2	0
noin 342 eaa.-noin 291 eaa.	2	0
noin 330 eaa.-noin 275 eaa.,	2	0
noin 330 eaa.-noin 275 eaa.	2	0
noin 306-373.	2	0
noin 306-373,	2	0
noin 20 e.Kr.-40 j.Kr.,	2	0
noin 20 e.Kr.-40 j.Kr.	2	0
701-762.	2	0
70-19,	2	0
525 tai 524 eaa.-456 tai 455 eaa.,	2	0
480-543.	2	0
384 eaa.-322 eaa,	2	0
1975-1950,	2	0
1932-1906.	2	0
1899-1874,	2	0
1877-1865.	2	0
100 eaa.-44 eaa.,	2	0
Victor.	1	0
Venäläinen kulttuuriperinne Suomessa -työryhmä.	1	0
Tutkimus- ja tilastotoimisto.	1	0
syntynyt 1630-luvulla, kuollut 1684.	1	0
Rune.	1	0
Rannikkoviranomaistyöryhmä.	1	0
Nuorisolautakunta.	1	0
noin 99 eaa.-noin 55 eaa.	1	0
noin 95-noin 175.	1	0
noin 879-960,	1	0
noin 85-noin 165,	1	0
noin 660-noin 740,	1	0
noin 570 eaa.-noin 500 eaa.,	1	0
noin 550-619.	1	0
noin 500 eaa. -noin 428 eaa.	1	0
noin 490 eaa.-noin 430 eaa.,	1	0
noin 490 eaa.-noin 430 eaa.	1	0
noin 460 eaa.-noin 370 eaa.,	1	0
noin 460 eaa.-noin 370 eaa.	1	0
noin 445 eaa.-noin 385 eaa.,	1	0
noin 363-425 j.Kr.	1	0
noin 1685-noin 1732,	1	0
noin 1431-noin 1463.	1	0
noin 1181-noin 1226,	1	0
Nicholas.	1	0
Conte.	1	0
Christian.	1	0
Carl.	1	0
Alan C.	1	0
973-1057.	1	0
65 eaa.-8 eaa.,	1	0
300-l. j. Kr.	1	0
295-373.	1	0
234-149 e. Kr.,	1	0
2-	1	0
1989-1973.	1	0
1988-1975,	1	0
19600310-	1	0
1941-1885.	1	0
19120108-	1	0
1868-1841.	1	0
1600/1700-luku.	1	0
100-165.	1	0
