synonyme;name 
=evangeliska sällskapets skrifter;
& omsl\.;sheet
 omsl$;sheet
 ja ; ,  
\\.urempi;long
arkki;sheet
arkkia;sheets
blad;plates
blad i kartong;sheets
bl\\.;plates
dubbelsidor;sheets
evangeliska sällskapets skrifter;  
hopvikta kartongskifvor;sheets
ilmoituss;sheets
ilmoitussivu;sheets
ilmoitussivua;sheets
inkl. ann.;  
irtokuval;sheets
irtokuvalehteä;sheets
faksimile;sheets
jaksossa;parts
kartasto;sheet
kartblad;sheets
kartbl;sheets
kartor;sheets
kartta;sheet
karttaa;sheets
karttalehteä;sheets
karttalehti;sheet
karttaliitettä;sheets
karta;sheet
kotelo,box
koteloa;box
kuvaa;sheets
kuval.;sheets
kuval;sheets
kuvalehdet;sheets
kuvalehteä;sheets
kuvalehteä taitettuina;sheets
kuvalehti;sheets
kuvalehtiä;sheets
kuvaliitettä;sheets
kuvas.;sheets
kuvasivua;sheets
kuvataulua;sheets
kuvapiirrosta;sheets
lehti;plate
lehdet;sheets
lehteä;sheets
lehteä kuvia;sheets
lehteä tekstiä;sheets
liitelehteä;sheets
lomaketta;sheets
lösa kartor;sheets
liiteluettelo;sheets
luettelo;sheets
luetteloa;sheets
mallil;sheets
mallilehteä;sheets
malliliitettä;sheets
med var. pag;in various pagings
musikbilaga;plate
muotokuvalehteä;sheets
nid\.;vol
nide;vol
nidettä;vol
nuotteja;sheets
och;+  
osaa;parts
pidempi;long
pienempi;small
pl$;plates
pl\\.;plates
plan;plate
poikittaip.;obl.
portr;sheets
s\\.$;pages
sammanfattning;  
silhuetter;sheets
sivu;pages
sivua;pages
spalter;plates
tab\.;tables
taulua;sheets
taulukkol\.;tables
taitettua;folded
taitettuina;folded
taitettuna;folded
taitettuna;folded
tyhjä;empty
useina jaksoina;parts
useina numerointijaksoina;in various pagings
valokuvaa;sheets
verso tyhjä;verso empty
viistokuva;sheets
vihkoa;vol
vihko;vol
vyblad;plates
yhteenliimattua lehteä;sheets

